AAL
AAPL
AEP
AGNC
AMAT
AMD
AMGN
AMRS
AMZN
APA
APHA
APPS
ARRY
ATVI
AZN
BCRX
BGCP
BIDU
BILI
BLDP
BNGO
CAN
CDEV
CERS
CLNE
CLOV
CMCSA
CRWD
CSCO
CSX
CZR
DISCA
DISCK
DKNG
DOCU
EBAY
EBON
ENPH
EXC
FB
FCEL
FITB
FLEX
FOLD
FUTU
GEVO
GILD
GNMK
GOEV
GPRO
GT
HBAN
HST
IDEX
INO
INTC
IQ
ISBC
JBLU
JD
KDP
KHC
KNSA
LAZR
LI
LX
LYFT
MARA
MDLZ
MGNI
MRNA
MRVL
MSFT
MU
MVIS
NAVI
NFLX
NKLA
NNDM
NVDA
NWSA
NXPI
NYMT
OCGN
OGI
OPEN
OPK
PACB
PAYA
PBCT
PDD
PENN
PEP
PLUG
PTEN
PTON
PYPL
QCOM
QFIN
RIDE
RIOT
RUN
RXT
SABR
SBRA
SBUX
SGMO
SIRI
SNDL
SPWR
SRNE
STAY
SUMO
TBIO
TIGR
TLRY
TMUS
TSLA
TXN
UAL
UPST
VG
VIAC
VLDR
VLY
VTRS
VUZI
WBA
WDC
WISH
WKHS
WOOF
XEL
ZM
ZNGA
AA
ABBV
ABEV
ABT
ACB
AEO
AES
AI
AIG
AM
AMC
AMCR
AR
AUY
AXP
BA
BABA
BAC
BB
BBD
BBVA
BCS
BEKE
BK
BKR
BMY
BOX
BP
BSX
C
CAG
CARR
CAT
CB
CCIV
CCJ
CCL
CDE
CFG
CIG
CIM
CL
CLDR
CLF
CLNY
CNP
CNX
COG
COP
COTY
CPG
CPNG
CRM
CVE
CVS
CVX
CX
D
DAL
DB
DD
DDD
DG
DIS
DOC
DOW
DRH
DUK
DVN
EDU
EPD
EQT
ERJ
ET
F
FBP
FCX
FDX
FE
FHN
FINV
FLR
FSR
FTCH
FTI
FUBO
GE
GFI
GGB
GLW
GM
GME
GNW
GOLD
GS
GSK
HAL
HBI
HD
HIG
HIMS
HL
HON
HPE
HPQ
HYLN
IAG
IBM
IBN
INFY
ING
IPOE
ITUB
JCI
JMIA
JNJ
JPM
KEY
KGC
KMI
KO
KOS
KR
LLY
LUMN
LUV
LXP
LYG
M
MA
MAC
MAX
MCD
MDT
MET
MFA
MGM
MMM
MO
MOS
MP
MPC
MRK
MRO
MS
MT
NCLH
NEE
NEM
NIO
NKE
NLY
NOK
NOV
NRG
NRZ
NVTA
ORCL
OVV
OXY
PBF
PBR
PCG
PFE
PG
PINS
PLTR
PM
PPL
PSTH
QS
RBLX
RCL
RF
RIG
RIO
RKT
RLX
RRC
RTX
SAN
SAVE
SBSW
SCHW
SE
SHO
SID
SJI
SKLZ
SLB
SM
SNAP
SO
SPCE
SQ
STL
SU
SWN
SYF
T
TAP
TECK
TEVA
TFC
TGNA
TGT
TJX
TME
TSM
TUYA
TWO
TWTR
UBER
UBS
UNH
UPS
USB
UWMC
V
VALE
VIPS
VLO
VST
WFC
WMB
WMT
WORK
WY
X
XL
XOM
XPEV
ZTO
